"event_id","year","longitude","latitude","fatalities","event_type"
3064,1993,5.766667,36.8,3,"state-based"
1736,1993,3,36.083333,4,"state-based"
2852,1993,3,36.583333,3,"state-based"
4284,1993,3.193056,36.7475,3,"state-based"
2301,1993,3.222483,36.620405,2,"state-based"
3577,1993,5.366667,35.383333,3,"state-based"
3179,1993,-0.6,35.683333,4,"state-based"
6163,1993,2.625278,36.470102,5,"state-based"
2443,1993,3.193056,36.7475,3,"state-based"
4213,1993,6.333333,37,5,"state-based"
5268,1993,3.474819,36.758965,1,"state-based"
4850,1993,3.666667,36.75,2,"state-based"
4054,1993,2.4475,36.589722,2,"state-based"
5953,1993,3.330802,36.649967,4,"state-based"
6145,1993,3.15,36.566667,1,"state-based"
4332,1993,3.182372,36.719899,1,"state-based"
3919,1993,-1.416667,34.666666,3,"state-based"
4930,1993,4.541944,35.705833,9,"state-based"
6343,1993,3,36.583333,2,"state-based"
6123,1993,3.124631,36.736541,1,"state-based"
2172,1993,3.050556,36.763056,1,"state-based"
3070,1993,3.050556,36.763056,4,"state-based"
4089,1993,3.050556,36.763056,1,"state-based"
1987,1993,3.147205,36.65396,1,"state-based"
3749,1993,2.4475,36.589722,2,"state-based"
5360,1993,3.05,36.75,1,"state-based"
1958,1993,2.827699,36.470039,2,"state-based"
4899,1993,3.050556,36.763056,2,"state-based"
4340,1993,3.145,36.720278,6,"state-based"
4659,1993,3,28,1,"state-based"
3644,1993,3.147205,36.65396,1,"state-based"
3560,1993,2.827699,36.470039,1,"state-based"
3599,1993,1.811111,35.607778,1,"state-based"
3241,1993,6.614722,36.365,1,"state-based"
2812,1993,2.912142,36.574125,9,"state-based"
2583,1993,3.147259,36.65344,5,"state-based"
1502,1993,4.775,36.075,3,"state-based"
2835,1993,3.050556,36.763056,3,"state-based"
3912,1993,-1.315,34.878333,4,"state-based"
4375,1993,6.178611,35.555278,2,"state-based"
3663,1993,2.827699,36.470039,3,"state-based"
3657,1993,1.967897,36.264055,1,"state-based"
4080,1993,3.222483,36.620405,2,"state-based"
2280,1993,3,36.583333,1,"state-based"
2963,1993,1.337795,36.15787,2,"state-based"
5463,1993,3.050019,36.714991,2,"state-based"
1678,1993,3.096064,36.666546,1,"state-based"
4104,1993,2.433333,36.583333,1,"state-based"
3938,1993,3.474819,36.758965,1,"state-based"
5955,1993,2.843889,36.761111,1,"state-based"
3291,1993,1.25,36.25,2,"state-based"
3429,1993,3.050556,36.763056,5,"state-based"
3212,1993,1.308086,36.510757,3,"state-based"
3542,1993,3,36.583333,2,"state-based"
6365,1993,1.25,36.25,1,"state-based"
5251,1993,-1.315,34.878333,1,"state-based"
1727,1993,7.1875,35.941944,1,"state-based"
5270,1993,3.666667,36.75,1,"state-based"
6257,1993,3,36.583333,5,"state-based"
5378,1993,3.056935,36.777328,1,"state-based"
6520,1993,3,28,2,"state-based"
1538,1993,3.050556,36.763056,1,"state-based"
1806,1993,2.827699,36.470039,1,"state-based"
2482,1993,3.050556,36.763056,2,"state-based"
4065,1993,3.15,36.566667,2,"state-based"
4070,1993,3.050556,36.763056,1,"state-based"
4508,1993,3,36.583333,2,"state-based"
3748,1993,3.050556,36.763056,5,"state-based"
4497,1993,3.147205,36.65396,2,"state-based"
5011,1993,3.593296,36.564634,1,"state-based"
4033,1993,6.9,36.866667,2,"state-based"
5662,1993,3.145,36.720278,5,"state-based"
3960,1993,3,28,2,"state-based"
2692,1993,2.880593,36.429125,0,"state-based"
5275,1993,1.25,36.25,2,"state-based"
5036,1993,2.666667,33.583333,5,"state-based"
2359,1993,3,28,3,"state-based"
6150,1993,2.827699,36.470039,1,"state-based"
5451,1993,3.087832,36.606366,1,"state-based"
3083,1993,3.050556,36.763056,1,"state-based"
3055,1993,3.147205,36.65396,3,"state-based"
3647,1993,1.25,36.25,1,"state-based"
2269,1993,3,36.583333,2,"state-based"
5199,1993,6.614722,36.365,1,"state-based"
4351,1993,0.089177,35.931151,2,"state-based"
